strain	virus	date	pangolin_lineage	GISAID_clade	country_exposure	division_exposure	period	source
USA/MA-MGH-00423/2020	SARS-CoV-2	2020-03-07	B.1	G	USA	Massachusetts	B	USA-other
USA/CA-SCCPHD-UC187/2020	SARS-CoV-2	2020-03-07	B.1	O	USA	California	B	USA-other
USA/TX_2967/2020	SARS-CoV-2	2020-03-01	B.1	GH	USA	Texas	B	USA-other
USA/KS_4126/2020	SARS-CoV-2	2020-03-06	B.1	GH	USA	Kansas	B	USA-other
USA/MA-MGH-00442/2020	SARS-CoV-2	2020-03-05	B.1	GH	USA	Massachusetts	B	USA-other
USA/FL-BPHL-0139/2020	SARS-CoV-2	2020-03-07	B.1	GH	USA	Florida	B	USA-other
USA/SC_3572/2020	SARS-CoV-2	2020-03-05	B.1	G	USA	South Carolina	B	USA-other
USA/CT-Yale-003/2020	SARS-CoV-2	2020-03-08	B.1.1	O	USA	Connecticut	B	USA-other
USA/MI-MDHHS-SC20162/2020	SARS-CoV-2	2020-03-10	B.1.1	GR	USA	Michigan	B	USA-other
USA/CA-SCCPHD-UC135/2020	SARS-CoV-2	2020-03-07	B.1.1	O	USA	California	B	USA-other
USA/CA-SCCPHD-UC134/2020	SARS-CoV-2	2020-03-07	B.1.1	O	USA	California	B	USA-other
USA/FL_5091/2020	SARS-CoV-2	2020-02-28	B.1.1	S	USA	Florida	B	USA-other
USA/MN5-MDH5/2020	SARS-CoV-2	2020-03-10	B.1.1	GR	USA	Minnesota	B	USA-other
USA/CA-SCCPHD-UC114/2020	SARS-CoV-2	2020-03-03	B.1.1	O	USA	California	B	USA-other
USA/WA-S4/2020	SARS-CoV-2	2020-03-01	B.1.1	O	USA	Washington	B	USA-other
USA/GA_1621/2020	SARS-CoV-2	2020-03-04	B.1.1	GR	USA	Georgia	B	USA-other
USA/CA-CDPH-UC25/2020	SARS-CoV-2	2020-03-04	B.1.1	O	USA	California	B	USA-other
USA/GA_2741/2020	SARS-CoV-2	2020-02-29	B.1.1	GR	USA	Georgia	B	USA-other
USA/GA_1299/2020	SARS-CoV-2	2020-03-03	B.1.1	GR	USA	Georgia	B	USA-other
USA/FL-CDC-6318/2020	SARS-CoV-2	2020-03-09	B.1.1	GR	USA	Florida	B	USA-other
USA/MI-MDHHS-SC20113/2020	SARS-CoV-2	2020-03-10	B.1.1.1	GR	USA	Michigan	B	USA-other
USA/MI-MDHHS-SC20359/2020	SARS-CoV-2	2020-03-10	B.1.1.1	GR	USA	Michigan	B	USA-other
USA/MI-MDHHS-SC20438/2020	SARS-CoV-2	2020-03-10	B.1.1.1	GR	USA	Michigan	B	USA-other
USA/MI-MDHHS-SC20002/2020	SARS-CoV-2	2020-03-10	B.1.1.10	GR	USA	Michigan	B	USA-other
USA/FL_1177/2020	SARS-CoV-2	2020-03-06	B.1.110	GH	USA	Florida	B	USA-other
USA/FL_7169/2020	SARS-CoV-2	2020-03-02	B.1.110	GH	USA	Florida	B	USA-other
USA/IL_0087/2020	SARS-CoV-2	2020-03-07	B.1.111	GH	USA	Illinois	B	USA-other
USA/LA-CDC-0757/2020	SARS-CoV-2	2020-03-10	B.1.2	GH	USA	Louisiana	B	USA-other
USA/LA_0842/2020	SARS-CoV-2	2020-03-09	B.1.2	GH	USA	Louisiana	B	USA-other
USA/TX-CDC-3008/2020	SARS-CoV-2	2020-03-10	B.1.2	GH	USA	Texas	B	USA-other
USA/WA-S274/2020	SARS-CoV-2	2020-03-08	B.1.21	GH	USA	Washington	B	USA-other
USA/WA-UW29/2020	SARS-CoV-2	2020-03-08	B.1.21	GH	USA	Washington	B	USA-other
USA/WA-UW60/2020	SARS-CoV-2	2020-03-09	B.1.21	GH	USA	Washington	B	USA-other
USA/WA-UW69/2020	SARS-CoV-2	2020-03-10	B.1.21	GH	USA	Washington	B	USA-other
USA/WA-UW78/2020	SARS-CoV-2	2020-03-10	B.1.21	GH	USA	Washington	B	USA-other
USA/WA-UW82/2020	SARS-CoV-2	2020-03-10	B.1.21	GH	USA	Washington	B	USA-other
USA/WA-UW96/2020	SARS-CoV-2	2020-03-10	B.1.21	GH	USA	Washington	B	USA-other
USA/TX-CDC-3009/2020	SARS-CoV-2	2020-03-10	B.1.37	GH	USA	Texas	B	USA-other
USA/UT_8906/2020	SARS-CoV-2	2020-03-07	B.1.43	GH	USA	Utah	B	USA-other
USA/CA-SCCPHD-UC128/2020	SARS-CoV-2	2020-03-06	B.1.5	O	USA	California	B	USA-other
USA/RI_0520/2020	SARS-CoV-2	2020-02-28	B.1.5	G	USA	Rhode Island	B	USA-other
USA/RI_0556/2020	SARS-CoV-2	2020-03-01	B.1.5	G	USA	Rhode Island	B	USA-other
USA/FL_9590/2020	SARS-CoV-2	2020-03-05	B.2	V	USA	Florida	B	USA-other
USA/MA_1355/2020	SARS-CoV-2	2020-03-05	B.2	O	USA	Massachusetts	B	USA-other
USA/MN4-MDH4/2020	SARS-CoV-2	2020-03-09	B.2	O	USA	Minnesota	B	USA-other
USA/OR_2656/2020	SARS-CoV-2	2020-02-27	B.2	V	USA	Oregon	B	USA-other
USA/TX-HMH037/2020	SARS-CoV-2	2020-03-08	B.2	V	USA	Texas	B	USA-other
USA/NV_0052/2020	SARS-CoV-2	2020-03-09	B.2.1	V	USA	Nevada	B	USA-other
USA/WA_5030/2020	SARS-CoV-2	2020-02-27	B.2.10	V	USA	Washington	B	USA-other
USA/NE_6605/2020	SARS-CoV-2	2020-03-05	B.3	L	USA	Nebraska	B	USA-other
USA/UT-010/2020	SARS-CoV-2	2020-03-10	B.3	L	USA	Utah	B	USA-other
USA/WA-UW22/2020	SARS-CoV-2	2020-03-06	B.4	O	USA	Washington	B	USA-other
USA/NY-NYU-VC-002/2020	SARS-CoV-2	2020-03-06	B.2.1	V	USA	New York	B	NY
USA/NY-NYUMC1/2020	SARS-CoV-2	2020-03-04	B.1	V	USA	New York	B	NY
USA/NY-PV09407/2020	SARS-CoV-2	2020-03-10	B.1	GH	USA	New York	B	NY
USA/NY-PV09413/2020	SARS-CoV-2	2020-03-09	B.1	GH	USA	New York	B	NY
USA/NY-PV09438/2020	SARS-CoV-2	2020-03-10	A.3	S	USA	New York	B	NY
USA/NY-PV09442/2020	SARS-CoV-2	2020-03-08	B.1	GH	USA	New York	B	NY
USA/NY-PV09444/2020	SARS-CoV-2	2020-03-04	B.1	GH	USA	New York	B	NY
USA/NY-PV09448/2020	SARS-CoV-2	2020-03-09	B.1	O	USA	New York	B	NY
USA/NY-SURV0144/2020	SARS-CoV-2	2020-03-02	B	L	USA	New York	B	NY
USA/NY-SURV0162/2020	SARS-CoV-2	2020-03-09	B.1	O	USA	New York	B	NY
USA/NY-SURV0165/2020	SARS-CoV-2	2020-03-09	B.2	V	USA	New York	B	NY
USA/NY-SURV0166/2020	SARS-CoV-2	2020-03-09	B.2	V	USA	New York	B	NY
USA/NY-SURV0171/2020	SARS-CoV-2	2020-03-09	B.1	O	USA	New York	B	NY
USA/NY-SURV0175/2020	SARS-CoV-2	2020-03-09	B.1	O	USA	New York	B	NY
USA/NY-SURV0302/2020	SARS-CoV-2	2020-03-09	B.1.3	O	USA	New York	B	NY
USA/NY-SURV0444/2020	SARS-CoV-2	2020-03-09	B.1	O	USA	New York	B	NY
USA/NY-SURV052/2020	SARS-CoV-2	2020-03-04	A.1	S	USA	New York	B	NY
USA/NY-SURV0592/2020	SARS-CoV-2	2020-03-08	B.1	O	USA	New York	B	NY
USA/NY-SURV076/2020	SARS-CoV-2	2020-03-05	B.1.3	GH	USA	New York	B	NY
USA/NY-SURV0874/2020	SARS-CoV-2	2020-03-09	B.2	O	USA	New York	B	NY
USA/NY-SURV097/2020	SARS-CoV-2	2020-03-09	B.2	O	USA	New York	B	NY
USA/NY-Wadsworth-10495-01/2020	SARS-CoV-2	2020-03-03	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-10496-01/2020	SARS-CoV-2	2020-03-03	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-10528-01/2020	SARS-CoV-2	2020-03-03	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-10683-01/2020	SARS-CoV-2	2020-03-04	B.2.1	V	USA	New York	B	NY
USA/NY-Wadsworth-10690-01/2020	SARS-CoV-2	2020-03-04	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-10707-01/2020	SARS-CoV-2	2020-03-04	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-11000-01/2020	SARS-CoV-2	2020-03-05	B.2.1	V	USA	New York	B	NY
USA/NY-Wadsworth-11190-01/2020	SARS-CoV-2	2020-03-06	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-11191-01/2020	SARS-CoV-2	2020-03-06	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-11202-01/2020	SARS-CoV-2	2020-03-06	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-11207-01/2020	SARS-CoV-2	2020-03-06	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-11245-01/2020	SARS-CoV-2	2020-03-06	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-11249-01/2020	SARS-CoV-2	2020-03-06	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-11291-01/2020	SARS-CoV-2	2020-03-06	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-11330-01/2020	SARS-CoV-2	2020-03-07	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-11380-01/2020	SARS-CoV-2	2020-03-06	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-11717-01/2020	SARS-CoV-2	2020-03-08	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-11735-01/2020	SARS-CoV-2	2020-03-08	B.1	GH	USA	New York	B	NY
USA/NY-Wadsworth-12883-02/2020	SARS-CoV-2	2020-03-10	B.1.3	GH	USA	New York	B	NY
USA/NY2-PV08100/2020	SARS-CoV-2	2020-03-04	A.2	S	USA	New York	B	NY
USA/NJ-CDC-7300/2020	SARS-CoV-2	2020-03-10	B.1	GH	USA	New Jersey	B	NJ
USA/NJ_3201/2020	SARS-CoV-2	2020-03-04	B.1	GH	USA	New Jersey	B	NJ
USA/NJ_3592/2020	SARS-CoV-2	2020-03-04	B.1	GH	USA	New Jersey	B	NJ
USA/MD-CDC-0025/2020	SARS-CoV-2	2020-03-04	B.1	GH	USA	Maryland	B	MD
USA/MD-HP00060/2020	SARS-CoV-2	2020-03-10	B.1	GH	USA	Maryland	B	MD
USA/MD-HP00075/2020	SARS-CoV-2	2020-03-08	B.1	GH	USA	Maryland	B	MD
USA/MD-HP00082/2020	SARS-CoV-2	2020-03-08	B.1.2	GH	USA	Maryland	B	MD
USA/MDH-5622/2020	SARS-CoV-2	2020-03-08	B.1	GH	USA	Maryland	B	MD
USA/MDH-5653/2020	SARS-CoV-2	2020-03-07	B.1	GH	USA	Maryland	B	MD
USA/MDH-5875/2020	SARS-CoV-2	2020-03-08	B.1	GH	USA	Maryland	B	MD
USA/MDH-6339/2020	SARS-CoV-2	2020-03-09	B.1	GH	USA	Maryland	B	MD
USA/MDH-6572/2020	SARS-CoV-2	2020-03-08	B.1.5	G	USA	Maryland	B	MD
USA/MDH-6612/2020	SARS-CoV-2	2020-03-09	B.1	GH	USA	Maryland	B	MD
USA/MDH-7590/2020	SARS-CoV-2	2020-03-09	B.1	GH	USA	Maryland	B	MD
USA/MD_0026/2020	SARS-CoV-2	2020-03-04	B.1	GH	USA	Maryland	B	MD
USA/MD_0027/2020	SARS-CoV-2	2020-03-04	B.1	GH	USA	Maryland	B	MD
